Car Name,Price,Fuel Type,Kilometers Driven,Transmission,Owner,Location,URL
2018 Honda City 1.5L I-VTEC ZX CVT,9.15,Petrol,"35,808 km",Automatic,1st,Hyderabad,https://www.cars24.com/buy-used-honda-city-2018-cars-hyderabad-10487347720/
2021 Honda Amaze 1.5L I-DTEC S,7.8,Diesel,"85,108 km",Manual,2nd,Hyderabad,https://www.cars24.com/buy-used-honda-amaze-2021-cars-hyderabad-10414142739/
2022 Mahindra Thar LX PETROL HT 4WD AT,12.59,Petrol,"40,026 km",Automatic,1st,Hyderabad,https://www.cars24.com/buy-used-mahindra-thar-2022-cars-hyderabad-10440946725/
2020 Mahindra XUV500 W7,9.99,Diesel,"95,073 km",Manual,1st,Hyderabad,https://www.cars24.com/buy-used-mahindra-xuv500-2020-cars-hyderabad-10445456772/
2018 Maruti Swift VXI AMT,4.58,Petrol,"78,929 km",Automatic,2nd,Hyderabad,https://www.cars24.com/buy-used-maruti-swift-2018-cars-hyderabad-10450140725/
2021 Maruti S PRESSO VXI+,3.83,Petrol,"37,930 km",Manual,1st,Hyderabad,https://www.cars24.com/buy-used-maruti-s-presso-2021-cars-hyderabad-10406747727/
2016 Maruti Celerio VXI AMT,3.58,Petrol,"43,601 km",Automatic,1st,Hyderabad,https://www.cars24.com/buy-used-maruti-celerio-2016-cars-hyderabad-10471147725/
2016 Maruti Baleno ALPHA PETROL 1.2,4.73,Petrol,"79,560 km",Manual,2nd,Hyderabad,https://www.cars24.com/buy-used-maruti-baleno-2016-cars-hyderabad-10414346786/
2022 Tata ALTROZ XZ PLUS I-TURBO PETROL,7.86,Petrol,"24,075 km",Manual,1st,Hyderabad,https://www.cars24.com/buy-used-tata-altroz-2022-cars-hyderabad-10467740747/
2020 Tata NEXON XM PETROL,6.78,Petrol,"66,020 km",Manual,1st,Hyderabad,https://www.cars24.com/buy-used-tata-nexon-2020-cars-hyderabad-10499449782/
